time_step	spot_number	coord_y	coord_x	blob_sigma	brightness_median	brightness_total	size_mask	bbox_y_min	bbox_y_max	bbox_x_min	bbox_x_max
1	0	532.0	682.0	0.7	95.5	1730.0	2.0	530	534	680	684
2	0	566.0	752.0	0.7	96.5	1772.0	4.0	564	568	750	754
2	1	532.0	681.0	0.7	136.5	2339.0	8.0	530	534	679	683
2	2	481.0	38.0	0.7	109.0	1980.0	6.0	479	483	36	40
3	0	569.0	755.0	1.1777777777777776	136.0	2193.0	8.0	567	571	753	757
3	1	534.0	683.0	0.7	128.0	2423.0	7.0	532	536	681	685
3	2	483.0	38.0	0.7	106.5	1918.0	5.0	481	485	36	40
4	0	605.0	576.0	0.7	128.5	2240.0	7.0	603	607	574	578
4	1	566.0	756.0	0.7	98.5	2075.0	10.0	564	568	754	758
4	2	534.0	683.0	0.7	129.0	2395.0	9.0	532	536	681	685
4	3	517.0	6.0	1.1777777777777776	158.5	2768.0	15.0	515	519	4	8
4	4	481.0	37.0	0.7	120.5	2002.0	2.0	479	483	35	39
5	0	729.0	951.0	0.7	88.5	1640.0	4.0	727	731	949	953
5	1	701.0	944.0	0.7	100.0	1785.0	5.0	699	703	942	946
5	2	621.0	785.0	0.7	106.0	1977.0	4.0	619	623	783	787
5	3	605.0	574.0	1.1777777777777776	159.5	2666.0	14.0	603	607	572	576
5	4	568.0	757.0	0.7	123.0	2207.0	11.0	566	570	755	759
5	5	555.0	35.0	0.7	100.5	1924.0	7.0	553	557	33	37
5	6	532.0	683.0	0.7	138.5	2268.0	12.0	530	534	681	685
5	7	530.0	683.0	0.7	115.5	2125.0	12.0	528	532	681	685
5	8	515.0	5.0	1.1777777777777776	151.0	2726.0	16.0	513	517	3	7
5	9	478.0	37.0	0.7	104.5	2024.0	6.0	476	480	35	39
6	0	698.0	949.0	0.7	107.5	1931.0	4.0	696	700	947	951
6	1	630.0	565.0	0.7	132.5	2434.0	11.0	628	632	563	567
6	2	620.0	787.0	1.1777777777777776	113.5	2435.0	7.0	618	622	785	789
6	3	612.0	724.0	0.7	85.5	1484.0	1.0	610	614	722	726
6	4	607.0	900.0	0.7	118.5	2166.0	8.0	605	609	898	902
6	5	604.0	575.0	1.1777777777777776	176.0	2857.0	16.0	602	606	573	577
